225.771, 129.238, 8.333, 49.373 False
224.938, 129.224, 8.333, 49.773 False
224.105, 129.211, 8.333, 50.173 False
223.272, 129.199, 8.333, 50.573 False
222.439, 129.189, 8.333, 50.973 False
221.605, 129.179, 8.333, 51.373 False
220.772, 129.170, 8.333, 51.773 False
219.939, 129.162, 8.333, 52.173 False
219.105, 129.154, 8.333, 52.573 False
218.272, 129.151, 8.333, 52.973 False
217.439, 129.147, 8.333, 53.373 False
216.605, 129.143, 8.333, 53.773 False
215.772, 129.141, 8.333, 54.173 False
214.941, 129.139, 8.286, 54.573 False
214.124, 129.138, 8.081, 54.973 False
213.341, 129.137, 7.671, 55.373 False
212.607, 129.138, 7.147, 55.773 False
211.929, 129.139, 6.564, 56.173 False
211.310, 129.141, 5.958, 56.573 False
210.751, 129.143, 5.355, 56.973 False
210.248, 129.145, 4.819, 57.373 False
209.789, 129.148, 4.454, 57.773 False
209.347, 129.151, 4.388, 58.173 False
208.893, 129.154, 4.595, 58.573 False
208.411, 129.157, 4.921, 58.973 False
207.892, 129.161, 5.302, 59.373 False
207.335, 129.165, 5.709, 59.773 False
206.738, 129.170, 6.125, 60.173 False
206.102, 129.175, 6.485, 60.573 False
205.442, 129.181, 6.664, 60.973 False
204.779, 129.188, 6.603, 61.373 False
204.137, 129.194, 6.334, 61.773 False
203.529, 129.201, 5.962, 62.173 False
202.959, 129.207, 5.571, 62.573 False
202.421, 129.218, 5.302, 62.973 False
201.897, 129.226, 5.201, 63.373 False
201.374, 129.234, 5.233, 63.767 False
200.839, 129.242, 5.424, 64.167 False
200.272, 129.251, 5.808, 64.548 False
199.662, 129.260, 6.257, 64.948 False
199.011, 129.270, 6.626, 65.048 False
198.339, 129.281, 6.753, 65.448 False
197.675, 129.291, 6.582, 65.841 False
197.036, 129.301, 6.301, 66.241 False
196.428, 129.310, 5.981, 66.641 False
195.851, 129.319, 5.663, 67.041 False
195.301, 129.327, 5.409, 67.441 False
194.772, 129.335, 5.215, 67.841 False
194.257, 129.343, 5.104, 68.241 False
193.745, 129.351, 5.127, 68.641 False
193.222, 129.358, 5.298, 69.041 False
192.670, 129.366, 5.657, 69.441 False
192.073, 129.375, 6.125, 69.841 False
191.433, 129.384, 6.539, 70.241 False
190.762, 129.394, 6.794, 70.641 False
190.082, 129.403, 6.789, 71.041 False
189.419, 129.413, 6.551, 71.424 False
188.789, 129.421, 6.178, 71.824 False
188.199, 129.429, 5.769, 72.197 False
187.647, 129.436, 5.390, 72.597 False
187.124, 129.443, 5.150, 72.968 False
186.615, 129.449, 5.033, 73.368 False
186.112, 129.455, 5.034, 73.452 False
185.677, 129.460, 5.268, 73.852 False
185.124, 129.466, 5.660, 74.246 False
184.531, 129.473, 6.062, 74.646 False
183.901, 129.480, 6.417, 75.046 False
183.245, 129.487, 6.636, 75.446 False
182.580, 129.494, 6.654, 75.846 False
181.927, 129.500, 6.472, 76.246 False
181.300, 129.507, 6.169, 76.646 False
180.707, 129.512, 5.815, 77.046 False
180.147, 129.517, 5.492, 77.446 False
179.613, 129.521, 5.245, 77.846 False
179.099, 129.525, 5.077, 78.246 False
178.596, 129.529, 5.009, 78.646 False
178.082, 129.532, 5.211, 79.046 False
177.540, 129.536, 5.520, 79.446 False
176.964, 129.540, 5.884, 79.846 False
176.352, 129.543, 6.250, 80.246 False
175.708, 129.547, 6.539, 80.646 False
175.046, 129.551, 6.660, 81.046 False
174.385, 129.554, 6.579, 81.446 False
173.743, 129.558, 6.340, 81.846 False
173.130, 129.560, 6.019, 82.246 False
172.551, 129.563, 5.677, 82.646 False
172.002, 129.565, 5.397, 83.046 False
171.475, 129.567, 5.192, 83.446 False
170.962, 129.568, 5.086, 83.846 False
170.450, 129.570, 5.130, 84.246 False
169.924, 129.571, 5.340, 84.646 False
169.364, 129.572, 5.747, 85.046 False
168.760, 129.574, 6.192, 85.446 False
168.115, 129.575, 6.582, 85.846 False
167.441, 129.576, 6.817, 86.246 False
166.760, 129.577, 6.803, 86.646 False
166.095, 129.578, 6.568, 87.046 False
165.463, 129.576, 6.202, 87.446 False
164.869, 129.575, 5.801, 87.846 False
164.314, 129.574, 5.427, 88.246 False
163.788, 129.573, 5.165, 88.645 False
163.281, 129.572, 4.989, 89.045 False
162.780, 129.570, 5.029, 89.140 False
162.288, 129.569, 5.221, 89.540 False
161.747, 129.568, 5.504, 89.632 False
161.226, 129.566, 5.773, 90.032 False
160.634, 129.565, 5.995, 90.432 False
160.022, 129.563, 6.203, 90.832 False
159.393, 129.561, 6.330, 91.232 False
158.760, 129.560, 6.329, 91.632 False
158.136, 129.558, 6.202, 92.024 False
157.530, 129.556, 5.995, 92.424 False
156.945, 129.554, 5.764, 92.824 False
156.385, 129.552, 5.525, 93.224 False
155.845, 129.550, 5.336, 93.624 False
155.319, 129.549, 5.216, 94.024 False
154.799, 129.547, 5.199, 94.116 False
154.310, 129.545, 5.377, 94.516 False
153.748, 129.543, 5.750, 94.880 False
153.147, 129.541, 6.144, 95.280 False
152.511, 129.539, 6.467, 95.671 False
151.853, 129.537, 6.635, 96.071 False
151.191, 129.535, 6.602, 96.444 False
150.545, 129.532, 6.394, 96.844 False
149.926, 129.530, 6.091, 97.202 False
149.339, 129.528, 5.757, 97.602 False
148.782, 129.527, 5.462, 97.690 False
148.314, 129.525, 5.270, 98.090 False
147.794, 129.523, 5.154, 98.182 False
147.319, 129.522, 5.126, 98.582 False
146.801, 129.520, 5.207, 98.977 False
146.265, 129.518, 5.451, 99.377 False
145.692, 129.516, 5.880, 99.777 False
145.076, 129.514, 6.291, 100.177 False
144.427, 129.512, 6.584, 100.577 False
143.763, 129.510, 6.675, 100.977 False
143.104, 129.508, 6.546, 101.377 False
142.468, 129.506, 6.265, 101.777 False
141.865, 129.505, 5.919, 102.177 False
141.296, 129.503, 5.570, 102.577 False
140.757, 129.501, 5.300, 102.977 False
140.238, 129.500, 5.110, 103.377 False
139.733, 129.499, 5.019, 103.777 False
139.226, 129.497, 5.083, 104.177 False
138.703, 129.496, 5.318, 104.577 False
138.144, 129.494, 5.748, 104.977 False
137.539, 129.493, 6.196, 105.377 False
136.894, 129.491, 6.587, 105.777 False
136.219, 129.490, 6.821, 106.177 False
135.538, 129.489, 6.803, 106.577 False
134.874, 129.487, 6.564, 106.977 False
134.242, 129.486, 6.195, 107.377 False
133.649, 129.485, 5.792, 107.777 False
133.095, 129.484, 5.415, 108.177 False
132.572, 129.483, 5.112, 108.577 False
132.077, 129.482, 4.846, 108.977 False
131.610, 129.481, 4.519, 109.377 False
131.182, 129.480, 4.125, 109.777 False
130.794, 129.480, 3.718, 110.177 False
130.445, 129.479, 3.338, 110.577 False
130.132, 129.479, 2.990, 110.667 False
129.877, 129.479, 2.704, 111.067 False
129.623, 129.479, 2.418, 111.467 False
129.396, 129.479, 2.162, 111.867 False
129.193, 129.479, 1.932, 111.961 False
129.021, 129.479, 1.739, 112.361 False
128.863, 129.479, 1.486, 112.761 False
128.720, 129.479, 1.358, 113.161 False
128.595, 129.479, 1.191, 113.254 False
128.485, 129.479, 1.185, 113.654 False
128.367, 129.479, 1.134, 114.054 False
128.249, 129.479, 1.219, 114.454 False
128.098, 129.479, 1.699, 114.854 False
127.893, 129.479, 2.214, 115.254 False
127.640, 129.479, 2.713, 115.654 False
127.338, 129.479, 3.209, 116.054 False
126.987, 129.479, 3.701, 116.454 False
126.588, 129.479, 4.185, 116.854 False
126.141, 129.479, 4.660, 117.254 False
125.647, 129.479, 5.128, 117.654 False
125.108, 129.479, 5.585, 118.054 False
124.523, 129.479, 6.033, 118.454 False
123.894, 129.479, 6.472, 118.854 False
123.221, 129.479, 6.903, 119.254 False
122.507, 129.479, 7.324, 119.654 False
121.750, 129.480, 7.737, 120.054 False
120.953, 129.480, 8.141, 120.454 False
120.118, 129.481, 8.469, 120.854 False
119.271, 129.481, 8.454, 121.254 False
118.448, 129.482, 8.138, 121.654 False
117.666, 129.482, 7.659, 122.054 False
116.937, 129.483, 7.093, 122.454 False
116.267, 129.483, 6.485, 122.547 False
115.697, 129.484, 5.908, 122.947 False
115.144, 129.484, 5.297, 123.041 False
114.675, 129.484, 4.782, 123.441 False
114.225, 129.484, 4.288, 123.540 False
113.827, 129.485, 3.878, 123.940 False
113.456, 129.485, 3.555, 124.040 False
113.119, 129.485, 3.259, 124.440 False
112.804, 129.485, 3.049, 124.538 False
112.512, 129.485, 2.892, 124.938 False
112.227, 129.486, 2.798, 125.030 False
111.972, 129.486, 2.737, 125.430 False
111.700, 129.486, 2.687, 125.830 False
111.436, 129.486, 2.578, 126.230 False
111.191, 129.486, 2.352, 126.322 False
110.985, 129.490, 2.194, 126.722 False
110.770, 129.490, 2.117, 126.807 False
110.591, 129.491, 2.068, 127.207 False
110.387, 129.491, 2.001, 127.291 False
110.221, 129.491, 1.960, 127.691 False
110.028, 129.492, 1.895, 127.771 False
109.879, 129.492, 1.855, 128.171 False
109.695, 129.492, 1.812, 128.257 False
109.539, 129.492, 1.812, 128.657 False
109.358, 129.492, 1.796, 128.737 False
109.215, 129.492, 1.780, 129.137 False
109.043, 129.492, 1.680, 129.215 False
108.917, 129.492, 1.574, 129.615 False
108.768, 129.492, 1.430, 129.692 False
108.663, 129.492, 1.321, 130.092 False
108.540, 129.488, 1.185, 130.166 False
108.456, 129.490, 1.091, 130.566 False
108.354, 129.490, 0.977, 130.632 False
108.292, 129.490, 0.908, 131.032 False
108.207, 129.490, 0.812, 131.097 False
108.156, 129.490, 0.755, 131.497 False
108.085, 129.490, 0.675, 131.563 False
108.043, 129.490, 0.627, 131.963 False
107.984, 129.490, 0.560, 132.029 False
107.948, 129.490, 0.521, 132.429 False
107.899, 129.490, 0.466, 132.490 False
107.872, 129.490, 0.435, 132.890 False
107.831, 129.490, 0.389, 132.951 False
107.808, 129.490, 0.363, 133.351 False
107.774, 129.490, 0.325, 133.413 False
107.754, 129.490, 0.303, 133.813 False
107.726, 129.490, 0.271, 133.874 False
107.710, 129.490, 0.253, 134.274 False
107.686, 129.492, 0.222, 134.335 False
107.673, 129.493, 0.210, 134.735 False
107.653, 129.491, 0.184, 134.798 False
107.642, 129.491, 0.174, 135.198 False
107.626, 129.491, 0.156, 135.263 False
107.616, 129.491, 0.145, 135.663 False
107.602, 129.491, 0.130, 135.743 False
107.593, 129.491, 0.119, 136.143 False
107.581, 129.491, 0.106, 136.208 False
107.575, 129.491, 0.099, 136.608 False
107.565, 129.491, 0.088, 136.671 False
107.560, 129.491, 0.082, 137.071 False
107.552, 129.491, 0.074, 137.133 False
107.548, 129.491, 0.069, 137.533 False
107.546, 129.491, 0.001, 137.591 False
107.544, 129.491, 0.022, 137.991 False
107.541, 129.491, 0.040, 138.048 False
107.538, 129.491, 0.043, 138.448 False
107.534, 129.491, 0.045, 138.511 False
107.531, 129.491, 0.044, 138.911 False
107.527, 129.490, 0.040, 138.970 False
107.524, 129.490, 0.037, 139.370 False
107.521, 129.490, 0.034, 139.427 False
107.519, 129.490, 0.032, 139.827 False
107.516, 129.490, 0.028, 139.885 False
107.514, 129.491, 0.025, 140.285 False
107.512, 129.491, 0.024, 140.342 False
107.511, 129.491, 0.023, 140.742 False
107.510, 129.491, 0.001, 140.800 False
107.510, 129.491, -0.017, 141.200 False
107.509, 129.491, -0.013, 141.259 False
107.509, 129.491, 0.005, 141.659 False
107.508, 129.491, 0.013, 141.716 False
107.507, 129.491, 0.015, 142.116 False
107.506, 129.491, 0.016, 142.174 False
107.505, 129.491, 0.016, 142.574 False
107.503, 129.491, 0.015, 142.631 False
107.502, 129.491, 0.030, 143.031 False
107.501, 129.491, 0.021, 143.431 False
107.499, 129.492, 0.020, 143.831 False
107.499, 129.492, 0.025, 144.231 False
107.497, 129.494, 0.024, 144.631 False
107.493, 129.497, 0.052, 145.031 False
107.476, 129.509, 0.245, 145.431 False
107.431, 129.532, 0.585, 145.831 False
107.340, 129.564, 1.149, 146.231 False
107.186, 129.598, 1.758, 146.631 False
106.983, 129.630, 2.219, 147.031 False
106.738, 129.659, 2.633, 147.431 False
106.460, 129.699, 2.913, 147.831 False
106.163, 129.739, 3.062, 148.231 False
105.860, 129.774, 3.073, 148.631 False
105.561, 129.807, 2.998, 149.031 False
105.271, 129.838, 2.887, 149.431 False
104.992, 129.867, 2.774, 149.831 False
